"Volgnummer","id_geo","Plaats","Straat","Huisnummer","Toevoeging","Kad. gemeente","Kad. sectie","Kadastraal perceelnr.","Bram","dubbel_bram","geometry","geopackage","dubbel_geo"
"66099","54313","Andijk","Klamptweid","37",NULL,"Andijk","K","2242","JA",False,"0101000020E6100000FC3004978ADC1440271E688C735F4A40","JA",False
"66100","54314","Andijk","Klamptweid","39",NULL,"Andijk","K","2242","JA",False,"0101000020E61000008E42E1CC8FDC144018AFFDDA715F4A40","JA",False
"66101","54315","Andijk","Klamptweid","41",NULL,"Andijk","K","2242","JA",False,"0101000020E6100000036B81DD92DC1440DD4EE26A705F4A40","JA",False
"66102","54316","Andijk","Klamptweid","43",NULL,"Andijk","K","2242","JA",False,"0101000020E6100000B4659B389ADC1440468C86126F5F4A40","JA",False
"66103","54317","Andijk","Klamptweid","45",NULL,"Andijk","K","2242","JA",False,"0101000020E610000044B94EAC9CDC14408745AB8A6D5F4A40","JA",False
"66104","54318","Andijk","Klamptweid","47",NULL,"Andijk","K","2242","JA",False,"0101000020E610000011DF7B6AA3DC1440F6786F266C5F4A40","JA",False
"66105","54319","Andijk","Klamptweid","94",NULL,"Andijk","K","3058","JA",False,"0101000020E6100000BCEEAFECF9DB1440A60EF39F795F4A40","JA",False
"66106","54320","Andijk","Klamptweid","96",NULL,"Andijk","K","3059","JA",False,"0101000020E61000003593A38102DC1440EB517A95775F4A40","JA",False
"66107","54321","Andijk","Klamptweid","98",NULL,"Andijk","K","3060","JA",False,"0101000020E610000076E170500CDC14406CEA03CD745F4A40","JA",False
"66108","54322","Andijk","Klamptweid","100",NULL,"Andijk","K","3061","JA",False,"0101000020E61000005AB65DED0CDC14400B324939735F4A40","JA",False
"66109","54323","Andijk","Klamptweid","102",NULL,"Andijk","K","3062","JA",False,"0101000020E610000084556BDD1CDC14405A1E9329705F4A40","JA",False
"66110","54324","Andijk","Klamptweid","104",NULL,"Andijk","K","3063","JA",False,"0101000020E6100000517B989B23DC144085A177B96E5F4A40","JA",False
"66111","54325","Andijk","Klamptweid","106",NULL,"Andijk","K","3055","JA",False,"0101000020E61000000E2DCBCC19DC1440E2F40F60665F4A40","JA",False
"66112","54326","Andijk","Klamptweid","108",NULL,"Andijk","K","3054","JA",False,"0101000020E6100000FCF95E7225DC14400873DA62625F4A40","JA",False
"66113","54327","Andijk","Hofkesland","1",NULL,"Andijk","K","3091","JA",False,"0101000020E610000063775FD1B2DB1440B81134D8645F4A40","JA",False
"66114","54328","Andijk","Hofkesland","3",NULL,"Andijk","K","3057","JA",False,"0101000020E6100000187409437CDB14406782B6EA635F4A40","JA",False
"66115","54329","Andijk","Hofkesland","5",NULL,"Andijk","K","3111","JA",False,"0101000020E61000003D1D004143DB1440A95A9797635F4A40","JA",False
"66116","54330","Andijk","Hofkesland","7",NULL,"Andijk","K","3112","JA",False,"0101000020E6100000F795FD3612DB14400A81D9C1625F4A40","JA",False
"66117","54331","Andijk","Hofkesland","9",NULL,"Andijk","K","3264","JA",False,"0101000020E61000002BF60C0BC8DA1440483FDD45615F4A40","JA",False
"66118","54332","Andijk","Hofkesland","11",NULL,"Andijk","K","3114","JA",False,"0101000020E610000088B20B86AFDA1440589BCBF3675F4A40","JA",False
"66119","54333","Andijk","Hofkesland","13",NULL,"Andijk","K","3115","JA",False,"0101000020E61000001749DD4290DA14409C69D311705F4A40","JA",False
"66120","54334","Andijk","Hofkesland","15",NULL,"Andijk","K","3268","JA",False,"0101000020E610000062D26F6383DA1440C071A3F0745F4A40","JA",False
"66121","54335","Andijk","Hofkesland","17",NULL,"Andijk","K","3269","JA",False,"0101000020E610000095AC42A57CDA1440A7F1BB1E775F4A40","JA",False
"66128","54342","Andijk","Hofkesland","2",NULL,"Andijk","K","3116","JA",False,"0101000020E61000001A6A2035C5DB144068339B906D5F4A40","JA",False
"66129","54343","Andijk","Hofkesland","4",NULL,"Andijk","K","3117","JA",False,"0101000020E610000078693DF98ADB1440B18A7F206C5F4A40","JA",False
"66130","54344","Andijk","Hofkesland","6",NULL,"Andijk","K","3118","JA",False,"0101000020E61000002E66E76A54DB144021AE9F146C5F4A40","JA",False
"66131","54345","Andijk","Hofkesland","8",NULL,"Andijk","K","3119","JA",False,"0101000020E6100000AFCBDCE302DB1440C93EE3DF6A5F4A40","JA",False
"66132","54346","Andijk","Hofkesland","10",NULL,"Andijk","K","3120","JA",False,"0101000020E610000060091588E8DA14406AEA03CD745F4A40","JA",False
"66133","54347","Andijk","Hofkesland","12",NULL,"Andijk","K","3121","JA",False,"0101000020E61000006FF7D2823CDB14409AAEDE54765F4A40","JA",False
"66134","54348","Andijk","Hofkesland","14",NULL,"Andijk","K","3122","JA",False,"0101000020E61000009494505C8ADB1440A94B3B4E775F4A40","JA",False
"66135","54349","Andijk","Hofkesland","16",NULL,"Andijk","K","3123","JA",False,"0101000020E6100000E35618B8A4DB14409A7B9A89775F4A40","JA",False
"66136","54350","Andijk","Hofkesland","18",NULL,"Andijk","K","3124","JA",False,"0101000020E610000016ABAE67E1DB14402DDF5158825F4A40","JA",False
"66137","54351","Andijk","Hofkesland","20",NULL,"Andijk","K","3125","JA",False,"0101000020E6100000563C9A7FC9DB1440822B3305825F4A40","JA",False
"66138","54352","Andijk","Hofkesland","22",NULL,"Andijk","K","3126","JA",False,"0101000020E6100000E25618B8A4DB144052AB9623815F4A40","JA",False
"66139","54353","Andijk","Hofkesland","24",NULL,"Andijk","K","3127","JA",False,"0101000020E610000077693DF98ADB144065DC1895805F4A40","JA",False
"66140","54354","Andijk","Hofkesland","26",NULL,"Andijk","K","3132","JA",False,"0101000020E6100000DD6001C65BDB1440C6ADF8A0805F4A40","JA",False
"66141","54355","Andijk","Hofkesland","28",NULL,"Andijk","K","3133","JA",False,"0101000020E61000003B1D004143DB14408FF3D94D805F4A40","JA",False
"66142","54356","Andijk","Hofkesland","30",NULL,"Andijk","K","3134","JA",False,"0101000020E610000073B6445020DB144083A9BC9B7F5F4A40","JA",False
"66143","54357","Andijk","Hofkesland","32",NULL,"Andijk","K","3135","JA",False,"0101000020E610000024F47CF405DB144091D03E0D7F5F4A40","JA",False
"66144","54358","Andijk","Hofkesland","34",NULL,"Andijk","K","3136","JA",False,"0101000020E61000001FBB47B9DEDA1440A331A22B7E5F4A40","JA",False
"66145","54359","Andijk","Hofkesland","36",NULL,"Andijk","K","3137","JA",False,"0101000020E6100000CFF87F5DC4DA1440EC4063E47D5F4A40","JA",False
"66146","54360","Andijk","Hofkesland","38",NULL,"Andijk","K","3138","JA",False,"0101000020E6100000773E11F99EDA1440C2AA1AF5875F4A40","JA",False
"66147","54361","Andijk","Hofkesland","40",NULL,"Andijk","K","3139","JA",False,"0101000020E61000008EAAB28EBADA1440F6141954885F4A40","JA",False
"66148","54362","Andijk","Hofkesland","42",NULL,"Andijk","K","3140","JA",False,"0101000020E610000077B8D466E2DA144064179541895F4A40","JA",False
"66149","54363","Andijk","Hofkesland","44",NULL,"Andijk","K","3141","JA",False,"0101000020E6100000A6D335DBF7DA1440487D3465895F4A40","JA",False
"66150","54364","Andijk","Hofkesland","46",NULL,"Andijk","K","3142","JA",False,"0101000020E6100000030AF8C322DB1440330C706A8A5F4A40","JA",False
